product_id,product_name,barcode,old_image_url,new_image_url,source,score,status
1448,كرسبي فاين فودز,6221155146564,https://images.yaoota.com/Rza2UBIOyyxhnZd2-k8HNzNqngE%3D/trim/yaootaweb-production/media/crawledproductimages/ce0e9957e13f1720526c8747e0770fd7a0447dbb.jpg,https://images.openfoodfacts.org/images/products/622/115/514/6564/front_fr.3.400.jpg,OpenFoodFacts-Barcode,97,resolved
1433,كيري لبنه,3073781107289,,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/3/0/3073781206074_2png.png,DDGS-Image-Search,95,resolved
1456,شيتوس بافس 10ج,6221333002996,,https://m.media-amazon.com/images/I/71wbBVpEscL._AC_SL1500_.jpg,DDGS-Image-Search,90,resolved
1491,بسكويت فريسكا نباتي,6223000557624,,https://images.openfoodfacts.org/images/products/622/300/055/7624/front_en.3.400.jpg,OpenFoodFacts-Barcode,97,resolved
1392,تايجر بالجمبري 10ج,6222035254836,https://www.qebox.app/qebox/wp-content/uploads/2025/11/Artboard-%D9%A6%D9%A0.png,,,0,not_resolved
1412,مكس الحمد 200جم,6224010237261,https://www.qebox.app/qebox/wp-content/uploads/2024/09/WhatsApp-Image-2024-09-15-at-3.31.12-AM-large.jpeg,,,0,not_resolved
1417,ميكس ريفال 500جم,6772504890343,https://www.qebox.app/qebox/wp-content/uploads/2024/11/WhatsApp-Image-2024-11-12-at-2.14.35-PM-large.jpeg,https://m.media-amazon.com/images/I/81ptvUYJ+7L._AC_SL1500_.jpg,DDGS-Image-Search,90,resolved
1501,بسكويت قشطه,6222009519367,,https://media.zid.store/87d7b1bc-7bec-4be8-8362-7dbc2c9e885b/fd2e5912-4da0-4acb-b37d-1b7ff4e43913.jpg,DDGS-Image-Search,75,resolved
1445,خضار بسمه اصابع باذنجان,6223000372388,https://www.qebox.app/qebox/wp-content/uploads/2024/11/WhatsApp-Image-2024-11-25-at-2.56.25-PM.jpeg,https://alhabeebmarket.com/storage/product/51974/21cqyLO4cVfiML20d2yn8pREgxWQQff1YPPFlbGH.webp,DDGS-Image-Search,40,resolved
1508,يبسكويت اهلاوي,6223000410004,,https://m.media-amazon.com/images/I/71M9JXm7xWL.__AC_SX300_SY300_QL70_ML2_.jpg,DDGS-Image-Search,90,resolved
1522,بسكويت هالي,6222024105439,,https://cdn.mafrservices.com/pim-content/EGY/media/product/603959/1735147803/603959_main.jpg,DDGS-Image-Search,95,resolved
1525,هوهوز 5ج,6223000554944,,https://muster.mohandes-ins.com/bilder/perfekt-schichtplan-vorlage-excel-de-excel-von-schichtplan-excel-vorlage-kostenlos.jpg,DDGS-Image-Search,40,resolved
